,Predicted call,Predicted dislike,Predicted fist,Predicted four,Predicted grabbing,Predicted grip,Predicted hand_heart,Predicted hand_heart2,Predicted holy,Predicted like,Predicted little_finger,Predicted middle_finger,Predicted mute,Predicted no_gesture,Predicted ok,Predicted one,Predicted palm,Predicted peace,Predicted peace_inverted,Predicted point,Predicted rock,Predicted stop,Predicted stop_inverted,Predicted take_picture,Predicted three,Predicted three2,Predicted three3,Predicted three_gun,Predicted thumb_index,Predicted thumb_index2,Predicted timeout,Predicted two_up,Predicted two_up_inverted,Predicted xsign
Actual palm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Actual peace,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Actual peace_inverted,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Actual point,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual rock,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,1,0,0
Actual stop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0
Actual stop_inverted,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
Actual take_picture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
Actual three,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Actual three2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0
Actual three3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0
Actual three_gun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
Actual thumb_index,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,3,0,0,0,0
Actual thumb_index2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0
Actual timeout,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0
Actual two_up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,13,1,0
Actual two_up_inverted,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Actual xsign,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
